"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-15","7.69","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-16","100","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-17A","51.2","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","TNF-b","5.63","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","VEGF","40.1","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IFN-g","580","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-1b","220","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-2","382","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-4","93.5","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-6","259","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-8","240","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-10","133","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-12p70","171","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","IL-13","165","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0743","V-PLEX Proinfammatory P1  QC1 (H)","TNF-a","77.8","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IFN-g","161","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-1b","52.2","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-2","39.8","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-4","19.1","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-6","47.5","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-8","37.9","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-10","25","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-12p70","32","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","IL-13","45.1","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0744","V-PLEX Proinfammatory P1  QC2 (M)","TNF-a","13.7","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IFN-g","42.5","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-1b","11","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-2","3.22","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-4","2.53","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-6","7.38","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-8","6.46","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-10","3.66","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-12p70","5.72","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","IL-13","12","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
